School Name,Region?,Metro Area,Setting?,Gender Setting,HBCU,Primary Focus,Undergraduate Size,Student Living,Religious Affiliation,Budget Category,Tuition & Fees,Room & Board,Total COA (no aid),Aid Type,Intl Students w/ Aid (#), Intl Students percentage with financial aid ,Avg Aid Awarded,Avg COA After Aid,Meets Full Need,Largest Merit Scholarship,Scholarship Name,Scholarship Info,Tuition After Largest Scholarship,Total COA After Largest Scholarship,How to Apply for Aid,Early Plan,ED2 Offered,Tags
Towson University,Northeast (Mid-Atlantic),"Washington, DC",City: Small,Coeducational,No,Balanced,Very High,On-campus,0-None,40000,29820,16260,50080,Merit,77,0.32,9784,38186,No,,,,,TBD,Unclear,Early Action Only,,early_admission
Transylvania University,Southeast,,City: Large,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,,46870,14697,65567,Merit,8,0.87,21348,,No,27000,Academic Merit Scholarships,"The premier award is the William T. Young Scholarship, which is a full-tuition award requiring a separate application and interview. Other merit awards are automatic with admission.",19870,38567,Automatic consideration,,,
Trinity Christian College,Midwest (Great Lakes),"Chicago, IL",Suburb: Large,Coeducational,No,Professional,Very High,On-campus,5-Very,15000,20380,11450,35830,Both,45,0.75,22485,13040,,,,,,,Unclear,,,affordable
Trinity College,Northeast (New England),,City: Midsize,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,25000,70770,18890,93660,Merit,245,0.81,66488,22922,Yes (Need-aware),not specified,Presidential Scholarships,A premier Merit Scholarship. Awarded to a small number of entering first-year students. All applicants for admission are automatically considered. No separate application is required.,,,Unclear,Early Decision only,Yes,early_admission; generous_aid; affordable
Trinity University,South (Central),"Austin, TX",City: Large,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,45000,53676,14750,72426,Both,117,0.99,29719,40105,No,Full Tuition,Murchison Scholarship,"A full-tuition competitive scholarship. Requires a separate application, and finalists are invited to campus for a competition.",0,18750,Automatic consideration,Both,,early_admission
Truman State University,Midwest (Great Plains),,Town: Remote,Coeducational,No,Balanced,Very High,On-campus,0-None,25000,18566,11128,33694,Merit,224,0.74,9340,23231,No,,,,,,Unclear,,,affordable
Tufts University,Northeast (New England),"Boston, MA",Suburb: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,15000,70704,18588,93292,Need,220,0.26,76596,12908,Yes (Need-aware),,,,,,Unclear,Early Decision only,Yes,early_admission; generous_aid; affordable; global_top_200
Tulane University of Louisiana,Southeast (Deep South),,City: Large,Coeducational,No,Balanced,Majority,On-campus,0-None,45000,68678,18888,91566,Both,140,0.34,44409,43217,No,Full Tuition,Dean's Honor Scholarship,A premier Merit Scholarship. All applicants are automatically considered based on their admission application. Top candidates may be invited to submit an additional essay. No separate initial application is needed.,0,22888,Automatic consideration,Both,Yes,early_admission
Union College,Northeast (Mid-Atlantic),,City: Small,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,35000,69039,17010,90049,Both,195,0.94,55181,31664,Yes (Need-aware),30000,,,39039,60049,Automatic consideration,Both,Yes,early_admission; generous_aid
Union University,Southeast,,City: Small,Coeducational,No,Professional,Majority,Off-campus,5-Very,15000,39850,12280,56130,Both,30,0.76,43070,11546,,,,,,,Unclear,,,affordable
University of Akron Main Campus,Midwest (Great Lakes),,City: Midsize,Coeducational,No,Professional,High,Off-campus,0-None,20000,20816,11904,36720,Merit,111,0.56,14298,18011,No,,,,,TBD,Unclear,,,affordable
University of Alabama at Birmingham,Southeast (Deep South),,City: Midsize,Coeducational,No,Balanced,Majority,On-campus,0-None,15000,28640,12760,45400,Merit,117,0.45,26921,12063,No,7500,UAB International Scholarship,A merit-based scholarship for international students. Awarded automatically based on academic performance. No separate application is required.,21140,37900,Automatic consideration,,,affordable
University of Alabama in Huntsville,Southeast (Deep South),,City: Midsize,Coeducational,No,Professional,High,On-campus,0-None,30000,25460,11540,41000,Merit,56,0.65,14794,25098,No,,,,,TBD,Unclear,,,affordable
University of Alabama,Southeast (Deep South),,City: Midsize,Coeducational,No,Professional,High,Off-campus,0-None,20000,34172,13516,51688,Merit,142,0.56,34327,17713,No,Full Tuition,Presidential Elite Scholarship,"The premier scholarship for out-of-state students, including internationals. Requires a very high GPA and test score. A separate application is needed after admission for consideration.",0,17516,Requires application,,,affordable
University of Alaska-Fairbanks,Alaska,,City: Small,Coeducational,No,Balanced,High,Off-campus,0-None,30000,26404,10650,41054,Merit,41,0.91,14167,26887,No,not specified,UA Foundation Scholarship,"The link is for UAA. The University of Alaska-Fairbanks (UAF) offers the Nanook Gold Scholarship to new students, including internationals, who meet GPA/test score requirements automatically upon admission.",,,Requires application,,,affordable
University of Arizona,Southwest,"Phoenix, AZ",City: Large,Coeducational,No,Balanced,High,On-campus,0-None,45000,38784,14400,57184,Merit,1098,0.7,15994,41190,No,23000,Arizona Global Wildcat Award,A merit-based scholarship for new international first-year and transfer students. Consideration is automatic upon admission. No separate application needed.,15784,34184,Automatic consideration,,,
University of Arkansas,South (Central),,City: Small,Coeducational,No,Professional,High,Off-campus,0-None,35000,29966,14244,48210,Merit,128,0.38,14677,31385,No,OOS waiver,Non-Resident Tuition Waiver,"This policy allows non-resident students, including internationals, who receive a university scholarship of a certain value to have the out-of-state portion of their tuition waived.",10104,28348,Automatic consideration,Early Action Only,,early_admission
University of Arkansas at Little Rock,South (Central),,City: Midsize,Coeducational,No,Balanced,Majority,On-campus,0-None,,22067,9162,35229,,,,,,No,,,,,,,,,
University of California-Berkeley,West Coast,SF/Silicon Valley,City: Midsize,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,95000,51032,23544,78576,Limited,,,,,No,Full ride+stipend,Robinson International Scholars Program,An award that provides additional program funding and support for international students who have also been selected for the prestigious Regents' and Chancellor's Scholarship. Consideration is automatic upon admission.,0,0,Automatic consideration,,,generous_aid
University of California-Davis,West Coast,SF/Silicon Valley,Suburb: Small,Coeducational,No,Arts and Sciences,High,On-campus,0-None,60000,47682,19426,71108,Limited,119,0.03,12970,56122,No,13250,Provost Scholarship,This is the former name. Top awards are now part of the Regents Scholarship. Consideration is automatic for all applicants based on academic merit. No separate application is required.,34432,57858,Automatic consideration,,,
University of California-Irvine,West Coast,"Los Angeles, CA",City: Large,Coeducational,No,Balanced,High,On-campus,0-None,50000,46626,18991,69617,Merit,67,0.02,19679,47758,No,Not published,,,,,Unclear,,,
University of California-Los Angeles,West Coast,"Los Angeles, CA",City: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,,46503,18369,68872,,155,0.06,25900,,No,,,,,,,,,
University of California-Merced,West Coast,,Suburb: Midsize,Coeducational,No,Balanced,Very High,On-campus,0-None,65000,46905,21445,72350,Merit,5,0.01,9000,60237,No,Not published,,,,,Unclear,,,
University of California-Riverside,West Coast,"Los Angeles, CA",City: Large,Coeducational,No,Arts and Sciences,High,On-campus,0-None,65000,48516,20700,73216,Limited,287,0.34,7872,60508,No,,,,,TBD,Unclear,,,
University of California-San Diego,West Coast,"San Diego, CA",City: Large,Coeducational,No,Arts and Sciences,High,On-campus,0-None,55000,51015,18522,73537,Merit,55,0.01,16234,51006,No,Not published,,,,,Unclear,,,
University of California-Santa Barbara,West Coast,"Los Angeles, CA",Suburb: Midsize,Coeducational,No,Arts and Sciences,High,On-campus,0-None,50000,47755,19947,71702,Merit,75,0.03,21053,47373,No,Not published,,,,,Unclear,,,
University of California-Santa Cruz,West Coast,SF/Silicon Valley,City: Small,Coeducational,No,Arts and Sciences,High,On-campus,0-None,65000,50183,19948,74131,Limited,152,0.28,6604,61518,No,,,,,TBD,Unclear,,,
University of Central Oklahoma,South (Central),,Suburb: Large,Coeducational,No,Professional,Very High,On-campus,0-None,,19409,8628,32037,Pending,,,,,No,,,,,,Unclear,,,generous_aid
University of Chicago,Midwest (Great Lakes),"Chicago, IL",City: Large,Coeducational,No,Arts and Sciences,Minority,On-campus,1-Historically,30000,69324,20109,93433,Both,274,0.23,60506,28334,Yes (Need-aware),20000,First Phoenix Scholarship,A scholarship for first-generation college students. All first-generation applicants are automatically considered. No separate application is needed.,49324,73433,Automatic consideration,Both,Yes,early_admission; generous_aid; affordable; global_top_200
University of Cincinnati-Main Campus,Midwest (Great Lakes),,City: Large,Coeducational,No,Professional,High,On-campus,0-None,35000,29310,13564,46874,Merit,871,0.61,13600,31688,No,15000,Global Scholarship,A merit-based scholarship for international students. All international applicants are automatically considered upon admission. No separate application is required.,14310,31874,Automatic consideration,,,
University of Colorado-Boulder,West (Rocky Mountains),,City: Midsize,Coeducational,No,Balanced,High,Off-campus,0-None,45000,49770,17784,71554,Merit,129,0.15,19251,43642,No,12500,Mildred Meyer Buck Endowed Scholarship in Arts and Scie,This is a specific scholarship requiring a separate application for enrolled students. It is not a general admissions scholarship.,37270,59054,Automatic consideration,Early Action Only,,early_admission; global_top_200
University of Colorado-Colorado Springs,West (Rocky Mountains),,City: Large,Coeducational,No,Balanced,High,Off-campus,0-None,,29920,17428,51348,Merit,,,,,No,Full Tuition,UCCS Presidential Scholars Award,"The link leads to a scholarship for continuing students. The top freshman merit award is the Chancellor's Award, which is awarded automatically upon admission.",-2396,19033,Requires application,,,
University of Colorado-Denver,West (Rocky Mountains),,City: Large,Coeducational,No,Balanced,Majority,On-campus,0-None,40000,36483,15442,55925,Merit,80,0.08,8067,39062,No,10000,Automatic Scholarship + Additional Scholarship,All international applicants are automatically considered for Merit Scholarships upon admission. No separate application is needed.,26483,45925,Automatic consideration,,,
University of Connecticut,Northeast (New England),,Town: Fringe,Coeducational,No,Balanced,Majority,On-campus,0-None,50000,43712,14380,62092,Merit,571,0.38,14946,46084,No,Full ride,Stamps Scholarship,The most prestigious Merit Scholarship. Requires a separate application to the Honors Program. Top Honors applicants are invited to apply for the Stamps Scholarship.,0,4000,Requires application,Early Decision only,,early_admission
University of Dayton,Midwest (Great Lakes),,City: Midsize,Coeducational,No,Professional,High,On-campus,4-Moderately,30000,49140,16800,69940,Merit,63,0.3,38258,28982,No,31000,International Merit Scholarship,All international applicants are automatically considered for this merit-based scholarship upon admission. No separate application is required.,18140,38940,Automatic consideration,Early Action Only,,early_admission; affordable
University of Delaware,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,Coeducational,No,Professional,High,On-campus,1-Historically,,41400,15386,60786,Merit,,,,,No,17000,UD Trustee Scholarship,The premier Merit Scholarship for non-resident and international students. Awarded to a select number of top applicants. Consideration is automatic with the admission application.,24400,43786,Automatic consideration,Early Action Only,,early_admission
University of Denver,West (Rocky Mountains),,City: Large,Coeducational,No,Balanced,Majority,On-campus,1-Historically,35000,61434,17759,83193,Merit,179,0.92,45790,34599,No,33000,"Chancellor Scholarship + $3,000 Residence Hall Grant",The Chancellor Scholarship is the premier merit award. All applicants are automatically considered upon admission. The housing grant is for eligible first-year students living on campus.,28434,50193,Automatic consideration,Both,,early_admission
University of Detroit Mercy,Midwest (Great Lakes),,City: Large,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,35000,32946,10428,47374,Need,124,0.67,15294,31744,No,,,,,,,Early Action Only,,early_admission
University of Evansville,Midwest (Great Lakes),,City: Midsize,Coeducational,No,Balanced,High,On-campus,2-Slightly,,44172,15000,63172,,116,0.84,43866,,No,not specified,Merit Scholarship,All admitted international students are automatically considered for merit-based scholarships. No separate application is required.,,,,Early Action Only,,early_admission
